kind,label,channel,region,hemisphere,retained,x,y
source,S1,,,,,0.0038,0.7978
source,S2,,,,,-0.7602,-0.2646
source,S3,,,,,0.755,-0.2626
source,S4,,,,,-0.0026,-0.7995
detector,D1,1,frontal,left,1,-0.24,0.7739
detector,D2,2,frontal,right,1,0.235,0.7763
detector,D3,3,frontal,left,1,-0.1216,0.6044
detector,D4,4,frontal,right,1,0.1246,0.6045
detector,D5,5,temporal,left,1,-0.6901,-0.1106
detector,D6,6,temporal,right,0,0.6894,-0.106
detector,D7,7,temporal,left,1,-0.609,-0.3584
detector,D8,8,temporal,right,0,0.6101,-0.3579
detector,D9,9,occipital,left,0,-0.2362,-0.7777
detector,D10,10,occipital,right,1,0.2334,-0.7743
landmark,F7,,,,,-0.6339,0.4949
landmark,F3,,,,,-0.3311,0.419
landmark,Fz,,,,,0.0002,0.3995
landmark,F4,,,,,0.3289,0.4193
landmark,F8,,,,,0.6383,0.4893
landmark,T7,,,,,-0.7973,0.0209
landmark,C3,,,,,-0.3988,-0.0035
landmark,Cz,,,,,-0.0007,-0.0036
landmark,C4,,,,,0.3964,-0.0029
landmark,T8,,,,,0.7973,0.0241
landmark,P7,,,,,-0.6331,-0.5061
landmark,P3,,,,,-0.3325,-0.42
landmark,Pz,,,,,-0.0003,-0.4018
landmark,P4,,,,,0.3298,-0.42
landmark,P8,,,,,0.6304,-0.5082
